T,TM,Tm,H,PP,VV,V,VM,PM_2_5
23.4,30.3,19.0,59.0,0.0,6.3,4.3,5.4,284.79583333333335
22.4,30.3,16.9,57.0,0.0,6.9,3.3,7.6,239.69545454545457
24.0,31.8,16.9,51.0,0.0,6.9,2.8,5.4,182.1875
22.8,30.2,17.6,55.0,0.0,7.7,3.7,7.6,264.06428571428575
23.1,30.6,17.4,46.0,0.0,6.9,3.3,5.4,223.20833333333331
22.9,30.6,17.4,51.0,0.0,6.9,3.5,3.5,200.64583333333337
22.3,30.1,15.7,43.0,0.0,6.9,2.8,5.4,285.225
21.8,30.6,14.8,41.0,0.0,6.9,1.9,5.4,334.3411764705882
21.6,30.6,14.2,43.0,0.0,6.9,3.1,7.6,276.90833333333336
21.6,29.6,16.4,58.0,0.0,6.9,2.2,3.5,108.0
21.9,29.6,16.6,58.0,0.0,6.9,2.4,5.4,107.625
22.3,29.9,17.5,55.0,0.0,6.9,3.1,5.4,125.89166666666668
21.6,29.1,15.5,47.0,0.0,7.7,4.8,7.6,181.01250000000005
21.8,29.2,14.6,41.0,0.0,6.9,2.8,3.5,152.55416666666667
22.3,30.1,15.6,40.0,0.0,6.9,2.4,5.4,152.32083333333338
22.1,29.8,17.3,54.0,0.0,6.9,5.2,9.4,319.7375
21.6,29.2,15.3,51.0,0.0,6.9,3.9,5.4,332.7083333333333
21.4,29.2,15.2,45.0,0.0,6.9,2.8,5.4,279.6
21.8,29.6,14.4,37.0,0.0,7.4,2.2,3.5,179.11666666666667
24.6,32.2,18.8,55.0,0.0,6.9,2.2,3.5,54.79166666666666
24.6,32.2,21.0,63.0,0.51,5.5,3.9,9.4,93.375
23.9,31.6,19.0,51.0,0.0,6.6,5.9,9.4,103.0
24.5,31.5,18.9,49.0,0.0,6.9,4.8,9.4,132.20833333333334
23.9,31.5,19.7,64.0,0.0,6.3,5.2,9.4,127.70833333333331
24.3,31.4,20.2,68.0,0.0,6.9,3.5,5.4,145.77777777777774
24.8,31.8,20.5,62.0,0.0,6.3,2.0,5.4,90.33333333333331
24.5,32.2,19.7,59.0,0.0,6.6,3.9,5.4,135.83333333333334
24.3,32.2,18.0,47.0,0.0,6.9,5.0,9.4,122.5
24.1,33.4,15.9,29.0,0.0,7.7,3.5,5.4,69.66666666666667
24.7,32.4,16.3,30.0,0.0,6.9,5.0,9.4,79.83333333333333
24.7,32.4,16.9,32.0,0.0,6.9,0.9,3.5,83.6111111111111
25.5,33.0,18.5,26.0,0.0,6.9,3.9,5.4,36.357142857142854
25.5,33.0,18.9,34.0,0.0,6.9,4.6,7.6,2.555555555555556
25.3,33.2,18.5,31.0,0.0,6.9,3.5,5.4,2.095238095238096
24.0,30.4,21.0,71.0,0.0,6.3,5.2,5.4,105.83333333333331
25.4,32.0,20.0,56.0,0.51,6.9,3.5,5.4,117.58333333333331
25.8,34.1,20.3,51.0,0.0,6.6,1.5,3.5,122.70833333333331
27.1,34.8,20.2,30.0,0.0,6.9,3.1,5.4,111.95833333333331
26.8,34.7,20.7,34.0,0.0,6.9,2.4,5.4,59.20833333333334
25.3,34.2,18.9,40.0,0.0,6.9,3.9,5.4,80.56521739130434
26.9,34.6,19.9,37.0,0.0,6.9,5.0,5.4,98.70833333333331
27.1,34.6,20.4,39.0,0.0,6.9,5.0,7.6,123.70833333333331
26.8,34.5,20.5,32.0,0.0,6.9,4.6,7.6,64.79166666666667
28.1,34.8,21.3,44.0,0.0,6.3,3.9,7.6,52.33333333333334
28.8,35.4,23.2,44.0,0.0,6.9,4.3,5.4,52.04166666666666
28.5,35.8,22.9,39.0,0.0,6.9,3.7,7.6,128.33333333333334
27.2,36.5,20.7,58.0,11.94,6.9,4.3,7.6,46.41666666666666
26.9,34.9,22.2,54.0,0.0,6.9,5.0,11.1,33.09090909090909
27.8,34.9,22.1,58.0,1.02,6.9,3.5,7.6,36.42857142857143
29.9,36.8,23.3,41.0,0.0,6.9,3.7,7.6,81.83333333333333
29.4,36.8,24.4,44.0,0.0,6.9,2.0,7.6,105.33333333333331
29.6,36.0,24.5,42.0,0.0,6.9,3.9,7.6,117.75
27.7,36.2,21.4,42.0,0.0,6.9,3.5,3.5,84.5
29.2,35.9,23.1,50.0,0.0,6.9,3.9,7.6,46.91666666666666
28.2,35.8,22.5,50.0,0.0,6.9,5.0,7.6,110.875
28.9,35.7,23.3,45.0,0.0,6.9,3.5,5.4,147.28571428571428
28.4,34.7,23.3,54.0,0.0,6.9,3.3,5.4,120.875
28.2,34.5,24.4,56.0,0.0,6.9,3.0,5.4,127.86666666666666
28.7,37.0,22.7,43.0,0.0,6.9,3.5,5.4,94.75
